country,people per household,population in millions,region,total households in millions
Afghanistan,8.04,38.928340999999996,South Asia,4.841833457711443
Albania,3.3,2.8378490000000003,Europe & Central Asia,0.8599542424242426
Angola,4.82,32.866268,Sub-Saharan Africa ,6.818727800829874
Argentina,3.26,45.376763000000004,Latin America & Caribbean ,13.919252453987733
Armenia,3.54,2.963234,Europe & Central Asia,0.8370717514124294
Aruba,2.89,0.10676600000000001,Latin America & Caribbean ,0.03694325259515571
Australia,2.55,25.693267000000002,East Asia & Pacific,10.075790980392158
Austria,2.27,8.916864,Europe & Central Asia,3.928133920704846
Azerbaijan,4.55,10.093121,Europe & Central Asia,2.218268351648352
Bangladesh,4.47,164.68938300000002,South Asia,36.843262416107386
Belarus,2.455,9.379952000000001,Europe & Central Asia,3.8207543788187377
Belgium,2.34,11.544241,Europe & Central Asia,4.933436324786325
Benin,5.19,12.123198,Sub-Saharan Africa ,2.3358763005780347
Bermuda,2.26,0.06389299999999999,North America,0.028271238938053098
Bolivia,3.53,11.673029,Latin America & Caribbean ,3.3068070821529747
Botswana,3.52,2.351625,Sub-Saharan Africa ,0.668075284090909
Brazil,3.31,212.559409,Latin America & Caribbean ,64.21734410876132
Bulgaria,2.34,6.934015,Europe & Central Asia,2.9632542735042735
Burkina Faso,5.92,20.903278,Sub-Saharan Africa ,3.530959121621622
Burundi,4.83,11.890781,Sub-Saharan Africa ,2.461859420289855
Cambodia,4.61,16.718971,East Asia & Pacific,3.626674837310195
Cameroon,4.99,26.545864,Sub-Saharan Africa ,5.319812424849699
Canada,2.45,38.037203999999996,North America,15.5253893877551
Central African Republic,4.91,4.829764,Sub-Saharan Africa ,0.9836586558044806
Chad,5.78,16.425859,Sub-Saharan Africa ,2.8418441176470584
Chile,3.575,19.116209,Latin America & Caribbean ,5.347191328671329
China,3.38,1411.1,East Asia & Pacific,417.4852071005917
Colombia,3.53,50.882884000000004,Latin America & Caribbean ,14.414414730878189
Comoros,5.37,0.8695950000000001,Sub-Saharan Africa ,0.16193575418994416
Costa Rica,3.46,5.094114,Latin America & Caribbean ,1.4722872832369942
Croatia,2.8,4.047680000000001,Europe & Central Asia,1.4456000000000002
Cuba,3.14,11.326616,Latin America & Caribbean ,3.6072025477707004
Cyprus,2.755,1.2073610000000001,Europe & Central Asia,0.4382435571687841
Czechia,2.37,10.697858,Europe & Central Asia,4.513864135021097
Dominican Republic,3.48,10.847904,Latin America & Caribbean ,3.1172137931034483
Ecuador,3.78,17.643060000000002,Latin America & Caribbean ,4.667476190476191
El Salvador,4.07,6.486201,Latin America & Caribbean ,1.5936611793611792
Estonia,2.3,1.329479,Europe & Central Asia,0.578034347826087
Ethiopia,4.61,114.96358300000001,Sub-Saharan Africa ,24.9378704989154
Fiji,4.57,0.896444,East Asia & Pacific,0.19615842450765864
Finland,2.07,5.529543,Europe & Central Asia,2.671276811594203
France,2.22,67.379908,Europe & Central Asia,30.351309909909908
Gabon,4.1,2.2257279999999997,Sub-Saharan Africa ,0.5428604878048781
Georgia,3.34,3.722716,Europe & Central Asia,1.114585628742515
Germany,2.095,83.160871,Europe & Central Asia,39.694926491646775
Ghana,3.49,31.072945,Sub-Saharan Africa ,8.903422636103151
Greece,2.5,10.700556,Europe & Central Asia,4.2802224
Guatemala,4.81,16.858333,Latin America & Caribbean ,3.5048509355509356
Guinea,6.25,13.132792000000002,Sub-Saharan Africa ,2.1012467200000002
Guyana,3.8,0.786559,Latin America & Caribbean ,0.2069892105263158
Haiti,4.29,11.402533,Latin America & Caribbean ,2.6579331002331004
Honduras,4.47,9.904608,Latin America & Caribbean ,2.2157959731543624
Hungary,2.48,9.750149,Europe & Central Asia,3.931511693548387
India,4.57,1380.004385,South Asia,301.9703249452954
Indonesia,3.86,273.523621,East Asia & Pacific,70.86104170984456
Iraq,7.7,40.222503,Middle East & North Africa,5.223701688311689
Ireland,2.77,4.9856739999999995,Europe & Central Asia,1.7998823104693138
Isle of Man,2.28,0.08503200000000001,Europe & Central Asia,0.03729473684210527
Italy,2.4,59.449527,Europe & Central Asia,24.770636250000003
Jamaica,3.06,2.961161,Latin America & Caribbean ,0.9676996732026144
Japan,2.33,126.26100000000001,East Asia & Pacific,54.189270386266095
Jordan,4.72,10.20314,Middle East & North Africa,2.1616822033898306
Kazakhstan,3.5,18.755666,Europe & Central Asia,5.3587617142857145
Kenya,3.64,53.7713,Sub-Saharan Africa ,14.772335164835164
Latvia,2.48,1.900449,Europe & Central Asia,0.7663100806451614
Lesotho,3.34,2.142252,Sub-Saharan Africa ,0.6413928143712575
Liberia,4.95,5.057677,Sub-Saharan Africa ,1.0217529292929293
Liechtenstein,2.32,0.038137,Europe & Central Asia,0.01643836206896552
Lithuania,2.35,2.794885,Europe & Central Asia,1.1893127659574467
Luxembourg,2.41,0.630419,Europe & Central Asia,0.26158464730290454
Madagascar,4.95,27.691019,Sub-Saharan Africa ,5.594145252525252
Malawi,4.51,19.129955,Sub-Saharan Africa ,4.241675166297117
Malaysia,4.565,32.365998,East Asia & Pacific,7.090032420591456
Maldives,5.4,0.540542,South Asia,0.10010037037037035
Mali,5.81,20.250834,Sub-Saharan Africa ,3.4855135972461277
Malta,2.76,0.515332,Middle East & North Africa,0.1867144927536232
Mauritius,3.48,1.2657399999999999,Sub-Saharan Africa ,0.36371839080459767
Mexico,3.74,128.932753,Latin America & Caribbean ,34.47399812834224
Mongolia,4.32,3.278292,East Asia & Pacific,0.7588638888888888
Montenegro,3.21,0.621306,Europe & Central Asia,0.1935532710280374
Morocco,5.24,36.910558,Middle East & North Africa,7.043999618320611
Mozambique,4.37,31.255435,Sub-Saharan Africa ,7.152273455377574
Myanmar,4.22,54.40979399999999,East Asia & Pacific,12.893316113744074
Namibia,4.24,2.540916,Sub-Saharan Africa ,0.5992726415094339
Nepal,4.24,29.136808000000002,South Asia,6.871888679245283
Netherlands,2.23,17.4415,Europe & Central Asia,7.8213004484304935
New Zealand,2.67,5.0902,East Asia & Pacific,1.9064419475655432
Nicaragua,4.92,6.624553999999999,Latin America & Caribbean ,1.3464540650406502
Niger,5.92,24.206636,Sub-Saharan Africa ,4.0889587837837835
Nigeria,4.9,206.139587,Sub-Saharan Africa ,42.069303469387755
Norway,2.22,5.379475,Europe & Central Asia,2.4231869369369368
Oman,8.02,5.106622,Middle East & North Africa,0.6367359102244389
Pakistan,6.8,220.892331,South Asia,32.484166323529415
Panama,3.67,4.314768,Latin America & Caribbean ,1.1756861035422344
Papua New Guinea,5.43,8.947027,East Asia & Pacific,1.647702946593002
Paraguay,4.63,7.13253,Latin America & Caribbean ,1.5405032397408207
Peru,3.75,32.971846,Latin America & Caribbean ,8.792492266666667
Philippines,4.23,109.58108500000002,East Asia & Pacific,25.9056938534279
Poland,2.815,37.89907,Europe & Central Asia,13.46325754884547
Portugal,2.6166666666666667,10.297081,Europe & Central Asia,3.9351901910828024
Puerto Rico,2.67,3.281538,Latin America & Caribbean ,1.2290404494382021
Romania,2.775,19.25752,Europe & Central Asia,6.939646846846847
Russian Federation,2.58,144.073139,Europe & Central Asia,55.842301937984494
Rwanda,4.26,12.952209,Sub-Saharan Africa ,3.040424647887324
Samoa,6.75,0.19841,East Asia & Pacific,0.029394074074074076
Sao Tome and Principe,3.84,0.21916100000000002,Sub-Saharan Africa ,0.05707317708333334
Senegal,8.66,16.74393,Sub-Saharan Africa ,1.9334792147806004
Serbia,2.88,6.899126,Europe & Central Asia,2.395529861111111
Seychelles,3.78,0.098462,Sub-Saharan Africa ,0.026048148148148147
Sierra Leone,5.9,7.976985000000001,Sub-Saharan Africa ,1.3520313559322035
Singapore,3.29,5.685807,East Asia & Pacific,1.7282088145896655
Sint Maarten (Dutch part),2.58,0.04231,Latin America & Caribbean ,0.01639922480620155
Slovenia,2.47,2.102419,Europe & Central Asia,0.8511817813765181
South Africa,3.36,59.308690000000006,Sub-Saharan Africa ,17.651395833333336
South Sudan,5.95,11.193729,Sub-Saharan Africa ,1.8812989915966385
Spain,2.635,47.363419,Europe & Central Asia,17.974732068311198
Sudan,5.59,43.849269,Sub-Saharan Africa ,7.844234168157424
Suriname,3.94,0.586634,Latin America & Caribbean ,0.14889187817258884
Switzerland,2.225,8.636561,Europe & Central Asia,3.8816004494382024
Tajikistan,5.99,9.537642,Europe & Central Asia,1.5922607679465777
Thailand,3.69,69.799978,East Asia & Pacific,18.915983197831977
Timor-Leste,5.27,1.3184420000000001,East Asia & Pacific,0.2501787476280835
Togo,4.55,8.278737,Sub-Saharan Africa ,1.8195026373626373
Trinidad and Tobago,3.29,1.399491,Latin America & Caribbean ,0.42537720364741644
Uganda,4.53,45.74100000000001,Sub-Saharan Africa ,10.097350993377484
Ukraine,2.46,44.132049,Europe & Central Asia,17.939857317073173
United Kingdom,2.31,67.081,Europe & Central Asia,29.03939393939394
United States,2.49,331.50108,North America,133.13296385542168
Uruguay,2.79,3.473727,Latin America & Caribbean ,1.245063440860215
Uzbekistan,5.24,34.23205,Europe & Central Asia,6.532833969465649
Zambia,5.13,18.383956,Sub-Saharan Africa ,3.5836171539961015
Zimbabwe,4.08,14.862926999999999,Sub-Saharan Africa ,3.642874264705882
