Topic,Topic description,General subject,General subject description,Specific subject,Specific subject description,Extensions,Extensions description
,,,,FGOV,Fixed investment general government,,
,,,,FINA,Finance,,
,,,,FINL,Finland,,
,,,,FINQ,Budgetary and financial management,,
,,,,FINS,Financial sector,,
,,,,FIRE,Firing cost,,
,,,,FISP,Fiscal policy,,
,,,,FLGV,Fixed investment state and local government,,
,,,,FMAR,First marriage (age),,
,,,,FNEI,Flows not elsewhere included,,
,,,,FNPW,Female non-production workers,,
,,,,FOOD,Food,,
,,,,FOSL,Fossil fuel sources,,
,,,,FPBE,Fixed investment public corporations/enterprises,,
,,,,FPRV,Fixed investment private sector,,
,,,,FPUB,Fixed investment public sector,,
,,,,FRAL,France,,
,,,,FREG,Firms formally registered,,
,,,,FRGL,Fragile land,,
,,,,FRGN,Foreign,,
,,,,FRNO,Foreign-owned,,
,,,,FRSO,forestry and other non-wood agricultural products,,
,,,,FRST,"First, lowest (also Forest)",,
,,,,FSEX,First sexual intercourse (age),,
,,,,FSTW,Forest and woodland,,
,,,,FSXW,Female sex workers,,
,,,,FTFW,Full time female workers,,
,,,,FTOT,Fixed investment total,,
,,,,FUEL,Fuel,,
,,,,FWAG,Freshwater: agriculture,,
,,,,FWDM,Freshwater: domestic,,
,,,,FWIN,Freshwater: industry,,
,,,,FWTL,Freshwater: total,,
,,,,FXAI,Other factor payments,,
,,,,GAP2,Poverty gap at $2 a day,,
,,,,GAP25,Poverty gap at $2.5 a day,,
,,,,GAP4,Poverty gap at $4 a day,,
,,,,GAP5,Poverty gap at $5 a day,,
,,,,GAPS,Poverty gap at $1.25 a day,,
,,,,GBND,Government bond,,
,,,,GBRL,United Kingdom,,
,,,,GCNW,Liner shipping connectivity,,
,,,,GDIV,Gross domestic investment,,
,,,,GEFF,Government effectiveness,,
,,,,GELW,"Gas, electricity and water",,
,,,,GHGO,Other greenhouse gas emissions,,
,,,,GHGR,GHG net emissions/removals,,
,,,,GHGT,Total greenhouse gas emissions,,
,,,,GIFT,Gifts,,
,,,,GINF,Government ineffectiveness,,
,,,,GINI,GINI index,,
,,,,GINT,Gross intake,,
,,,,GIPE,Global index P/E ratio,,
,,,,GITV,Government intervention,,
,,,,GNDR,Gender,,
,,,,GNFS,Goods and (nonfactor) services,,
,,,,GOES,Goes out,,
,,,,GOLD,Gold,,
,,,,GOOD,Goods,,
,,,,GOTR,Grants and other revenue,,
,,,,GOVT,Government,,
,,,,GRAD,Graduates,,
,,,,GRCL,Greece,,
,,,,GRDF,Final grade,,
,,,,GROW,Growth,,
,,,,GRTS,Grants,,
,,,,GSRV,Goods and services,,
,,,,GSTV,Government stability,,
,,,,GTOT,Total goods,,
,,,,GWAG,General wages,,
,,,,GWRK,Gainful work,,
,,,,HEAR,Heard,,
,,,,HEHW,"Health, education, housing, social security and welfare",,
,,,,HEPB,HepB3,,
,,,,HFCG,HFC gas emissions,,
,,,,HHIN,Herfindahl-Hirschman Index,,
,,,,HIAT,Highest educational attainment,,
,,,,HIB3,Hib3,,
,,,,HIRE,Hiring,,
,,,,HLTH,Health,,
,,,,HOUR,Hours,,
,,,,HOUS,Household,,
,,,,HRES,Human resources,,
,,,,HSAJ,Own house alone and jointly,,
,,,,HSAL,Own house alone,,
,,,,HSJT,Own house jointly,,
,,,,HSNO,Do not own a house,,
,,,,HSPL,Hospital,,
,,,,HWRK,Housework,,
,,,,HYRO,Hydroelectric sources,,
,,,,IAEA,UN agencies: IAEA,,
,,,,IASY,Inflows of asylum seekers,,
,,,,IBCG,BCG,,
,,,,IBND,International bond issues,,
,,,,IBNK,International bank lending,,
,,,,IBRF,IBRD fast disbursing loans ,,
,,,,ICTG,ICT goods,,
,,,,ICTI,ICT investment,,
,,,,ICTR,Including transfers,,
,,,,ICTS,UN Crime Trends Survey,,
,,,,IDAF,IDA fast disbursing loans ,,
,,,,IDAG,IDA grants,,
,,,,IDCD,ID card,,
,,,,IDLC,Ideal number of children,,
,,,,IDPT,"Immunization, DPT",,
,,,,IDRT,Indirect,,
,,,,IDUS,Injecting drug users,,
,,,,IEQY,International equity placement,,
,,,,IFAD,UN agencies: IFAD,,
,,,,IFRM,Informal,,
,,,,IFRN,Inflows of foreign population,,
,,,,IGRT,Including grants,,
,,,,IKFR,Including external capital grants,,
,,,,ILIT,Illiterate,,
,,,,ILOG,UN agencies: ILO,,
,,,,IMAR,Marginal individual rate,,
,,,,IMFC,IMF: concessional,,
,,,,IMFN,IMF: nonconcessional,,
,,,,IMPL,Implicit,,
,,,,IMPT,Customs and other import duties,,
,,,,IMRT,Infant mortality rate,,
,,,,INCD,Incidence,,
,,,,INCL,Including,,
,,,,INDX,Index,,
,,,,INFE,Infant estimated,,
,,,,INFM,Informal,,
,,,,INFO,Information,,
,,,,INFR,Infrastructure (or infant reported),,
,,,,INJR,Injury,,
,,,,INLD,Including net lending,,
,,,,INPT,Inpatient,,
,,,,INSF,Insurance and financial services,,
,,,,INSU,Insurance,,
,,,,INSV,Industry and services (nonagricultural),,
,,,,INTD,Interest on domestic debt,,
,,,,INTE,Interest on external debt,,
,,,,INTG,Intangible,,
,,,,INTL,International,,
,,,,INTM,Intermediate (education),,
,,,,INTP,Interest payments,,
,,,,INTR,Internal,,
,,,,INTT,International trade,,
,,,,INVS,Investment,,
,,,,IPBH,International public health,,
,,,,IPOL,International police,,
,,,,IRAI,IDA resource allocation index,,
,,,,IRIG,Irrigated,,
,,,,IRLL,Ireland,,
,,,,IRSK,Impoverishing expenditure risk,,
,,,,ISLL,Iceland,,
,,,,ISOC,ISO certification,,
,,,,ISPC,Internet service provider access charge,,
,,,,ITAL,Italy,,
,,,,ITEN,Intentional,,
,,,,ITRN,Transport,,
,,,,IYCF,Infant and young child feeding practices,,
,,,,JPNL,Japan,,
,,,,JUDG,Judges,,
,,,,JYEN,Japanese,,
,,,,KFRN,External capital grants,,
,,,,KGDS,Capital goods,,
,,,,KNOW,Knowledge,,
,,,,KOGT,Capital account,,
,,,,KORL,"Korea, Rep.",,
,,,,KWMD,Knowledge of modern method,,
,,,,LABR,Labor,,
,,,,LACK,Lacking confidence,,
,,,,LAND,Land,,
,,,,LAST,Last owned,,
,,,,LAWO,Law and order,,
,,,,LAWS,Laws,,
,,,,LBMI,Lean body mass index,,
,,,,LBRG,Labor regulations,,
,,,,LBRT,Live births,,
,,,,LBSK,Labor skills,,
,,,,LCAP,Market capitalization of listed companies,,
,,,,LCTY,Largest city,,
,,,,LDAJ,Own land alone and jointly,,
,,,,LDAL,Own land alone,,
,,,,LDJT,Own land jointly,,
,,,,LDNO,Do not own land,,
,,,,LDOM,Listed domestic companies,,
,,,,LE00,Life expectancy at birth,,
,,,,LE60,Life expectancy at age 60,,
,,,,LEGL,Legal,,
,,,,LEND,Lending,,
,,,,LEVE,Leave,,
,,,,LGOV,State and local government,,
,,,,LIBR,LIBOR,,
,,,,LIFE,Life (years),,
,,,,LIMT,Limit,,
,,,,LIQU,Liquid,,
,,,,LITR,Literacy,,
,,,,LMTG,Limiting,,
,,,,LNDN,London,,
,,,,LNDP,Lending rate minus deposit rate,,
,,,,LNLB,Lending rate less LIBOR,,
,,,,LOAN,Loan,,
,,,,LOGS,Logistics,,
,,,,LOSS,Loss,,
,,,,LPGN,LPG/natural gas/biogas,,
,,,,LSOM,"Legislators, senior officials and managers",,
,,,,LTOT,Lower secondary education total,,
,,,,LTRM,Long term,,
,,,,LUXL,Luxembourg,,
,,,,LVFS,Livestock and fishery,,
,,,,LVSK,Livestock,,
,,,,MACH,Machines,,
,,,,MACR,Macroeconomic,,
,,,,MAIN,Telephone main lines,,
,,,,MAIZ,Maize,,
,,,,MALN,Malnutrition,,
,,,,MALR,Malaria,,
,,,,MANF,Manufacturing,,
,,,,MANG,Mangroves,,
,,,,MARR,Married,,
,,,,MAT,Math,,
,,,,MATH,Math,,
,,,,MBRI,Median birth interval,,
,,,,MCAP,Minimum capital requirement,,
,,,,MCTY,Urban agglomerations of more than 1 million,,
,,,,MDAT,EM-DAT disaster database,,
,,,,MDRD,Trademark applications: Madrid,,
,,,,MDRI,Debt forgiveness grants,,
,,,,MEAS,Measles,,
,,,,MEAT,Meat,,
,,,,METG,Meetings,,
,,,,METH,Methane,,
,,,,MGMT,Management,,
,,,,MIAA,IDA adjustment lending,,
,,,,MIBA,IBRD adjustment lending,,
,,,,MIBR,IBRD,,
,,,,MIDA,IDA,,
,,,,MIGR,Migrants,,
,,,,MIKE,Michael Minges,,
,,,,MINQ,Mining and quarrying,,
,,,,MINR,Mineral,,
,,,,MKTP,Market,,
,,,,MLAT,Multilateral,,
,,,,MLN3,Malnutrition -3 standard deviations,,
,,,,MLTC,Multilateral concessional,,
,,,,MLTI,Multiunit,,
,,,,MLTN,Multilateral nonconcessional,,
,,,,MLTP,Multiple,,
,,,,MMKT,Money market,,
,,,,MMRT,Maternal mortality ratio,,
,,,,MMTL,Ores and metals,,
,,,,MMTM,Momentum,,
,,,,MNET,Mobile Internet users,,
,,,,MNST,Ministerial,,
,,,,MONY,Money,,
,,,,MORT,Mortality,,
,,,,MOTH,Other financial flows,,
,,,,MPRM,Primary education compensation,,
,,,,MPRT,Import,,
,,,,MPYR,Employer,,
,,,,MQMY,Money and quasi money,,
,,,,MRCH,Goods (merchandise),,
,,,,MRKT,Market,,
,,,,MRRP,Marital rape,,
,,,,MSEC,Secondary education compensation,,
,,,,MSTM,Mistimed,,
,,,,MSXM,Men who have sex with men,,
,,,,MTAL,Metal,,
,,,,MTER,Tertiary education compensation,,
,,,,MTHD,Methodology,,
,,,,MTOT,Total financial flows (or total compensation),,
,,,,MTRF,Fixed telephone voice traffic,,
,,,,MTRI,Fixed telephone voice traffic: in,,
,,,,MTRN,Machinery and transport equipment,,
,,,,MTRO,Fixed telephone voice traffic: out,,
,,,,MULC,Multiple currencies,,
,,,,MWBG,World Bank Group (IBRD & IDA),,
,,,,MWIV,Midwives,,
,,,,NAGP,National poverty gap,,
,,,,NAGR,Non-agricultural,,
,,,,NAHC,National poverty headcount,,
,,,,NATL,Natural,,
,,,,NBNK,Nonbank,,
,,,,NCGV,Central government (net),,
,,,,NCOM,Non-communicable,,
,,,,NCTR,Net current transfers,,
,,,,NDNS,New density,,
,,,,NEBR,European Bank for Reconstruction and Development (EBRD),,
,,,,NEET,Not in education or training,,
,,,,NEGL,Neglects children,,
,,,,NENR,Net enrollment,,
,,,,NETA,Mosquito net use by children,,
,,,,NETH,Household possession of mosquito nets,,
,,,,NETM,Net migration,,
,,,,NETP,Mosquito net use by pregnant women,,
,,,,NETS,Insecticide-treated bed nets,,
,,,,NETW,Networked,,
,,,,NEWS,Daily newspapers,,
,,,,NFCG,Other consumer goods,,
,,,,NFCY,Net (factor) income,,
,,,,NFGD,Total assets and foreign liabilities,,
,,,,NFLW,Net flow,,
,,,,NFRG,Net foreign,,
,,,,NFRN,Net migration of foreign population,,
,,,,NFSV,(Nonfactor) services,,
,,,,NGAS,Natural gas sources,,
,,,,NIFC,International Finance Corporation (IFC),,
,,,,NIND,Net indirect taxes,,
,,,,NINT,Net intake,,
,,,,NLDL,Netherlands,,
,,,,NMRT,Neonatal mortality,,
,,,,NNAT,Net national savings,,
,,,,NNTY,Net national income,,
,,,,NODC,Nondiscrimination,,
,,,,NODT,No data,,
,,,,NOFP,No female provider,,
,,,,NONE,None,,
,,,,NOP1,Number of poor at $1.90 a day,,
,,,,NOP2,Number of poor at $3.10 a day,,
,,,,NOP25,Number of poor at $2.5 a day,,
,,,,NOP4,Number of poor at $4 a day,,
,,,,NOP5,Number of poor at $5 a day,,
,,,,NOPN,Nonpregnant/nonnursing,,
,,,,NORL,Norway,,
,,,,NORM,Normalized,,
,,,,NORS,No reason,,
,,,,NOTX,No tax,,
,,,,NOXE,Nitrous oxide,,
,,,,NPER,Nonperforming,,
,,,,NPET,Non-oil,,
,,,,NPOL,National police,,
,,,,NPRF,Nonprofit,,
,,,,NPRG,Non-pregnant,,
,,,,NRCT,Nonresidents (by count) (refers to intellectual property applications),,
,,,,NREG,New registrations,,
,,,,NRES,Nonresidents,,
,,,,NSS+,New sputum smear positive cases,,
,,,,NTHI,Household possession of insecticide-treated mosquito nets,,
,,,,NTIM,Non-timber,,
,,,,NTPI,Insecticide-treated mosquito net use by pregnant women,,
,,,,NUCL,Nuclear sources,,
,,,,NUMW,Nurses and midwives,,
,,,,NURS,Nurses,,
,,,,NVEH,Motor vehicles,,
,,,,NWCV,New conflict and violence (IDPs),,
,,,,NWDS,New disasters (IDPs),,
,,,,NZLL,New Zealand,,
,,,,OADJ,Adjustments to arrears per DRS pipeline,,
,,,,OATL,Net official aid,,
,,,,OB18,Obesity ages 18+,,
,,,,OB20,Obesity ages 20+,,
,,,,OBES,Obesity,,
,,,,OBHB,Obey husband,,
,,,,OCOM,Other commodities,,
,,,,ODAT,Net official development assistance,,
,,,,ODFC,Open defecation,,
,,,,OENR,Over-age enrollment,,
,,,,OFDC,Official direct,,
,,,,OFFC,Official concessional,,
,,,,OFFN,Official nonconcessional,,
,,,,OFFO,Other official,,
,,,,OFFT,Official creditors,,
,,,,OFIN,Other financial,,
,,,,OFRN,Outflow of foreign population,,
,,,,OFTR,Off-track,,
,,,,OINV,Other investment,,
,,,,ONTR,On-track,,
,,,,OOPC,Out-of-pocket,,
,,,,ORCF,Oral rehydration and continued feeding,,
,,,,ORHF,"ORS, RHS or increased fluids treatment",,
,,,,ORHK,Knowledge of ORS or RHS treatment,,
,,,,ORHS,ORS or RHS treatment,,
,,,,ORPH,Orphans,,
,,,,ORTH,Oral rehydration,,
,,,,OSRV,Other services,,
,,,,OTEN,Other energy,,
,,,,OTHC,Other currencies,,
,,,,OTHR,"Water pollution, other industry (% of total BOD emissions)",,
,,,,OTHX,"Other, excluding",,
,,,,OUTD,Outdoor,,
,,,,OUTG,Outages,,
,,,,OUTP,Outpatient,,
,,,,OVRL,Overall,,
,,,,OVRX,"Overall, excluding current grants",,
,,,,OVXG,"Overall, excluding all grants",,
,,,,OVXK,"Overall, excluding capital grants",,
,,,,OW15,Overweight ages 15+,,
,,,,OWAC,Own-account workers,,
,,,,OWAD,Overweight adults,,
,,,,OWGH,Overweight,,
,,,,OWNR,Ownership,,
,,,,PADM,Public administration,,
,,,,PAPR,Paper and pulp,,
,,,,PARA,Parallel,,
,,,,PARL,National parliaments,,
,,,,PART,Part time,,
,,,,PASG,Passengers,,
,,,,PAVE,Paved,,
,,,,PAYM,Payments,,
,,,,PAYR,Payroll,,
,,,,PBND,PPG debt:  bonds,,
,,,,PC40,Bottom 40% of population,,
,,,,PCAP,Per capita,,
,,,,PCAR,Passenger cars,,
,,,,PCBK,PPG debt: commercial banks,,
,,,,PCBO,Commercial banks and other lending,,
,,,,PCMP,Personal computer,,
,,,,PENT,Public enterprises,,
,,,,PERM,Permission,,
,,,,PEST,Pesticide,,
,,,,PETC,Private (household) including statistical discrepancy,,
,,,,PETR,Oil sources,,
,,,,PFCG,PFC gas emissions,,
,,,,PGAR,Pregnant women receiving ARV drugs,,
,,,,PHYS,Physicians,,
,,,,PIMF,Projected IMF,,
,,,,PISA,Program for International Student Assessment,,
,,,,PM10,PM10 emissions,,
,,,,PM25,PM 2.5 air pollution,,
,,,,PMTC,Antiretroviral therapy coverage for PMTCT,,
,,,,PNGB,PNG debt: bonds,,
,,,,PNGC,PNG debt: commercial banks and other creditors,,
,,,,PNVC,Postnatal care coverage,,
,,,,POL3,Pol3,,
,,,,POLC,Policy,,
,,,,POLL,Poland,,
,,,,PORT,Port infrastructure,,
,,,,POTH,Other private creditors,,
,,,,PPAS,Permanent pastureland,,
,,,,PPP,Purchasing power parity,,
,,,,PPPC,Purchasing power parity conversion,,
,,,,PRCH,Purchase,,
,,,,PRCP,Precipitation,,
,,,,PRDC,Periodicity and timeliness,,
,,,,PREG,Pregnant,,
,,,,PREP,Prepaid,,
,,,,PRES,Public resource use,,
,,,,PREV,Prevalence,,
,,,,PRFC,Preferred creditor,,
,,,,PRFT,Profit,,
,,,,PRGV,Government protection of property rights,,
,,,,PRIM,Primary education,,
,,,,PRIO,Prioritization,,
,,,,PRIV,Private,,
,,,,PRLT,"Paris Club, pre-cutoff date PRD on London terms",,
,,,,PRMS,Premises,,
,,,,PROB,Problems,,
,,,,PROC,Procedures,,
,,,,PROD,Production,,
,,,,PROG,Progression,,
,,,,PROJ,Projected,,
,,,,PROP,Other private creditors,,
,,,,PROT,Social protection,,
,,,,PRRT,Property,,
,,,,PRS5,Persistence to grade 5,,
,,,,PRSC,Primary and secondary education,,
,,,,PRSL,Persistence to last grade of primary,,
,,,,PRTL,Portugal,,
,,,,PRTT,"Paris Club, pre-cutoff date PRD on Toronto terms",,
,,,,PRVS,Private sector,,
,,,,PRVT,Private,,
,,,,PRVZ,Privatization,,
,,,,PRXL,"Property, excluding land",,
,,,,PSGR,Passengers,,
,,,,PSRC,Primary and secondary,,
,,,,PSUB,Per subscriber,,
,,,,PSUP,Private suppliers' credits,,
,,,,PTCH,Primary teachers,,
,,,,PTLD,Protected land area,,
,,,,PTMR,Protected marine area,,
,,,,PTXL,"Portfolio investment, excluding LCFAR",,
,,,,PUBL,Public,,
,,,,PUBO,Publicly-owned,,
,,,,PUBS,Public sector,,
,,,,PUSE,GDP per unit of energy use,,
,,,,PUTR,Pupil-teacher ratio,,
,,,,PVBR,Present value of debt before restructuring,,
,,,,PVLX,Present value of external debt (excludes IMF),,
,,,,PWKR,Workers' remittances,,
,,,,PWRK,Paid work,,
,,,,QLIQ,Quasi-liquid liabilities,,
,,,,QMNY,Quasi money,,
,,,,QUAL,Quality,,
,,,,RAWM,Manufactures (trade),,
,,,,RAWP,Primary goods (trade),,
,,,,RAWT,Intermediate goods (trade),,
,,,,RCOV,Recovery rate,,
,,,,RCPT,Receipts,,
,,,,RDBC,Regional development banks: concessional,,
,,,,RDBN,Regional development banks: nonconcessional,,
,,,,RDWD,Roundwood,,
,,,,REA,Reading,,
,,,,READ,Reading,,
,,,,REAL,Real,,
,,,,REAS,Reason,,
,,,,REER,Real effective exchange rate,,
,,,,REFG,Refugee,,
,,,,REFU,Refuse,,
,,,,REGL,Regulator,,
,,,,REGQ,Regulatory quality,,
,,,,REPF,Repeaters in final grade,,
,,,,REPT,Repeaters,,
,,,,RESD,Residents,,
,,,,REVN,Revenue mobilization,,
,,,,RFST,Reforestation,,
,,,,RINR,Real interest rate,,
,,,,RINV,Budgetary investment,,
,,,,RISK,Risk premium,,
,,,,RLAW,Rule of law,,
,,,,RMON,Reserve money,,
,,,,RNEW,Renewable,,
,,,,RNWX,"Renewable, excluding",,
,,,,ROAD,Road,,
,,,,ROYL,Royalty and license fees,,
,,,,RSCT,Residents (by count) (refers to intellectual property applications),,
,,,,RSDL,Residual,,
,,,,RSDO,Other primary commodities (residual),,
,,,,RSDV,Research and development,,
,,,,RUGP,Rural poverty gap,,
,,,,RUHC,Rural poverty headcount,,
,,,,RWAG,Real wages,,
,,,,SAFE,Safe (improved),,
,,,,SALT,Salt,,
,,,,SAOP,Surgical specialists,,
,,,,SATI,Satisfied,,
,,,,SATM,Satisfied by modern methods,,
,,,,SBLD,Separate building,,
,,,,SCHL,Schooling,,
,,,,SCI,Science,,
,,,,SCIE,Scientists (researchers),,
,,,,SDRW,Special Drawing Rights (SDRs),,
,,,,SEAS,Seasonal,,
,,,,SECG,General secondary education,,
,,,,SECO,Secondary education,,
,,,,SECR,Secure,,
,,,,SECV,Vocational secondary education,,
,,,,SELF,Self,,
,,,,SERV,Service,,
,,,,SETS,"Subscriptions (e.g., cell phone handsets)",,
,,,,SF6G,SF6 gas emissions ,,
,,,,SFTR,Seriously off-track,,
,,,,SGAP,Savings gap,,
,,,,SGAS,Gasoline,,
,,,,SIZE,Size,,
,,,,SKIL,Skill,,
,,,,SLUM,Slums,,
,,,,SMAM,Marriage age,,
,,,,SMGT,Senior and middle management,,
,,,,SMOK,Smoking,,
,,,,SOCB,Social benefits,,
,,,,SOCI,Social inclusion/equity,,
,,,,SOCL,Social,,
,,,,SOSE,Social security and welfare,,
,,,,SPA1,Sale and purchase agreement 1,,
,,,,SPA2,Sale and purchase agreement 2,,
,,,,SPA3,Sale and purchase agreement 3,,
,,,,SPA4,Sale and purchase agreement 4,,
,,,,SPAC,Sale and purchase agreement cofinancing,,
,,,,SPCG,Spacing (family planning),,
,,,,SPED,Speed and cost of access,,
,,,,SPF2,2+ doses of SP/Fansidar malaria treatment,,
,,,,SPFN,SP/Fansidar malaria treatment,,
,,,,SPXA,Sale and purchase agreement cofinancing carry over,,
,,,,SRCE,Source data,,
,,,,SRVS,Services,,
,,,,SSEC,Social security contributions,,
,,,,STAB,Political stability,,
,,,,STAT,Political stateness,,
,,,,STCH,Secondary teachers,,
,,,,STKB,Changes in inventories (stocks),,
,,,,STN3,"Stunting, -3 standard deviations",,
,,,,STNT,Stunting (height),,
,,,,STPB,Public inventories,,
,,,,STPV,Private inventories,,
,,,,STRC,Structural policies,,
,,,,STRW,Straw/shrubs/grass,,
,,,,STTS,Status,,
,,,,SUBR,Subscribers,,
,,,,SUBS,Subsidies,,
,,,,SUIC,Suicide,,
,,,,SVKL,Slovak Republic,,
,,,,SVNG,Savings,,
,,,,SVNL,Slovenia,,
,,,,SVNX,"Savings, excluding particulate emission damage",,
,,,,SWEL,Sweden,,
,,,,SWFR,Swiss franc,,
,,,,SXHR,Sexual harassment,,
,,,,SXOT,Sex with others,,
,,,,SYPH,Syphilis,,
,,,,TAXR,Tax rates,,
,,,,TCAQ,Trained teachers,,
,,,,TCHR,Teachers,,
,,,,TCOM,Primary products (commodities),,
,,,,TDFL,Traditional fuel,,
,,,,TDPT,Time deposits,,
,,,,TECH,Technical,,
,,,,TELC,Telephone access charges,,
,,,,TELE,Telecom,,
,,,,TENR,Total enrollment,,
,,,,TERT,Tertiary education,,
,,,,TETC,"Total, including statistical discrepancy",,
,,,,TFRT,Fertility rate,,
,,,,THRD,Threatened,,
,,,,TIMB,Timber,,
,,,,TIME,Time (frequency),,
,,,,TINV,Total investment,,
,,,,TIRD,Tired,,
,,,,TL30,Less than 30 minutes away round trip,,
,,,,TLDC,Least developed countries (total),,
,,,,TM30,More than 30 minutes away round trip,,
,,,,TMBC,Time of border compliance,,
,,,,TMDC,Time of documentary compliance,,
,,,,TMDS,Transmitted disease,,
,,,,TO65,To age 65,,
,,,,TOCV,Total conflict and violence (IDPs),,
,,,,TOTL,Total,,
,,,,TOTP,Total private,,
,,,,TRAC,Tractors,,
,,,,TRAD,Traded,,
,,,,TRAF,Traffic,,
,,,,TRAN,Transport,,
,,,,TRDP,Trade policy,,
,,,,TRET,Treated,,
,,,,TRFF,Tariffs,,
,,,,TRFO,Other transfers,,
,,,,TRFT,Subsidies and other transfers,,
,,,,TRNG,Training,,
,,,,TRNL,Capital transfers,,
,,,,TRNR,Transport receipts (or Turnover ratio),,
,,,,TRNX,Transport expenditures,,
,,,,TRVL,Travel,,
,,,,TSTM,Testimony,,
,,,,TTNS,Tetanus,,
,,,,TTRF,Total fixed and mobile voice traffic,,
,,,,TTRI,Telephone voice traffic: in,,
,,,,TTRO,Telephone voice traffic: out,,
,,,,TTWL,Tangible wealth,,
,,,,TVLR,Travel receipts,,
,,,,TVLX,Travel expenditures,,
,,,,TWRK,Time spent on paid and unpaid work,,
,,,,TXTL,Textiles,,
,,,,UKPS,Pound sterling,,
,,,,UNAI,UN agencies: UNAIDS,,
,,,,UNCF,UN agencies: UNICEF,,
,,,,UNCR,UN agencies: UNHCR,,
,,,,UNDP,UN agencies: UNDP,,
,,,,UNDR,Under,,
,,,,UNEC,UN agencies: UNECE,,
,,,,UNEM,Unemployment,,
,,,,UNER,Unenrolled,,
,,,,UNFP,UN agencies: UNFPA,,
,,,,UNMB,Union members,,
,,,,UNOC,Unoccupied,,
,,,,UNOT,UN agencies: Other,,
,,,,UNPB,UN agencies: UNPBF,,
,,,,UNPD,Unpaid,,
,,,,UNRW,UN agencies: UNRWA,,
,,,,UNTA,UN agencies: UNTA,,
,,,,UNTD,Untied,,
,,,,UNTO,UN agencies: Total,,
,,,,URGP,Urban poverty gap,,
,,,,URHC,Urban poverty headcount,,
,,,,USAG,Usage,,
,,,,USAL,United States,,
,,,,USDL,U.S. dollars,,
,,,,USEC,Usage charge,,
,,,,USER,Users,,
,,,,USET,Use tariff,,
,,,,UTOT,Upper secondary education total,,
,,,,UWRK,Unpaid work,,
,,,,UWTD,Unwanted,,
,,,,VAPP,Vitamin A supplements for postpartum women,,
,,,,VAPW,Value added per worker,,
,,,,VISI,Visits,,
,,,,VITA,Vitamin A,,
,,,,VOIC,Voice and accountability,,
,,,,VOIP,Voice over Internet Protocol,,
,,,,VTOT,Variable rate,,
,,,,VULN,Vulnerable,,
,,,,WAGE,Wage,,
,,,,WAIT,Waiting list,,
,,,,WAST,Wasting (weight),,
,,,,WATR,Water and sanitation,,
,,,,WEBM,Web measure,,
,,,,WFPG,UN agencies: WFP,,
,,,,WFRT,Wanted fertility rate,,
,,,,WHEA,Wheat,,
,,,,WHER,Where (to go),,
,,,,WHOL,UN agencies: WHO,,
,,,,WNTD,Wanted,,
,,,,WOOD,Wood,,
,,,,WORK,Workers,,
,,,,WR01,Workers' remittances plus compensation of employees,,
,,,,WR02,"Workers' remittances, compensation of employees, and migrant transfers",,
,,,,WRKR,Worker,,
,,,,WST3,"Wasting, -3 standard deviations",,
,,,,XGLD,Excluding gold,,
,,,,XGRT,Excluding grants,,
,,,,XINT,Excluding interest,,
,,,,XMQM,Excluding money and quasi-money,,
,,,,XOKA,Excluding official capital transfers,,
,,,,XPND,Expenditure,,
,,,,XPRT,Exports,,
,,,,XTHR,Other manufactures (trade),,
,,,,YPKG,"Income, profits and capital gains",,